"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Поиск книги по слову 'Ведьмак'","18298","Поиск книги","","2026-05-03","passed","2026-05-03","TestUI","test_ui","",""
"Проверка, что главная страница успешно загружается","4187","Загрузка главной страницы","","2026-05-03","passed","2026-05-03","TestUI","test_ui","",""
"Поиск книги по названию","1128","test_search_book","","2026-05-03","passed","2026-05-03","TestAPI","test_api","",""
"Добавление товара в корзину","492","test_add_to_cart","","2026-05-03","passed","2026-05-03","TestAPI","test_api","",""
"Обновление количества товара в корзине","622","test_update_cart_quantity","","2026-05-03","skipped","2026-05-03","TestAPI","test_api","",""
"Проверка перехода на страницу корзины","4686","Страница корзины","","2026-05-03","passed","2026-05-03","TestUI","test_ui","",""
"Поиск с неверным токеном - должен вернуть 401 или 403","1374","test_search_with_invalid_token","","2026-05-03","passed","2026-05-03","TestAPI","test_api","",""
"Получение корзины","359","test_get_cart","","2026-05-03","skipped","2026-05-03","TestAPI","test_api","",""
"Поиск несуществующего товара","534","test_search_nonexistent_product","","2026-05-03","passed","2026-05-03","TestAPI","test_api","",""
"Поиск с опечаткой","359","test_search_with_typo","","2026-05-03","skipped","2026-05-03","TestAPI","test_api","",""
"Поиск книги 'Преступление и наказание'","63696","Поиск книги по названию","","2026-05-03","broken","2026-05-03","TestUI","test_ui","",""
"Удаление товара из корзины","1101","test_delete_from_cart","","2026-05-03","passed","2026-05-03","TestAPI","test_api","",""
"Проверка загрузки страницы товара","7914","Страница товара","","2026-05-03","passed","2026-05-03","TestUI","test_ui","",""
"Получение профиля пользователя","841","test_get_profile","","2026-05-03","passed","2026-05-03","TestAPI","test_api","",""
